130504,1305,2 x 11 Enam Lingkuang
130515,1305,2 x 11 Kayu Tanam
161204,1612,Abab
530518,5305,Abad Selatan
510705,5107,Abang
747106,7471,Abeli
950603,9506,Abenaho
917103,9171,Abepura
510303,5103,Abiansemal
950208,9502,Aboy
740210,7402,Abuki
920906,9209,Abun
180306,1803,Abung Barat
180322,1803,Abung Kunang
180319,1803,Abung Pekurun
180307,1803,Abung Selatan
180313,1803,Abung Semuli
180314,1803,Abung Surakarta
180311,1803,Abung Tengah
180305,1803,Abung Timur
180312,1803,Abung Tinggi
120203,1202,Adian Koting
181007,1810,Adiluwih (Adi Luwih)
330515,3305,Adimulyo
330103,3301,Adipala
332811,3328,Adiwerna
530617,5306,Adonara
530608,5306,Adonara Barat
530618,5306,Adonara Tengah
530610,5306,Adonara Timur
120322,1203,Aek Bilah
120918,1209,Aek Kuasan
122304,1223,Aek Kuo
120932,1209,Aek Ledong
122111,1221,Aek Nabara Barumun
122307,1223,Aek Natas
120921,1209,Aek Songsongan
741110,7411,Aere
717204,7172,Aertembaga (Bitung Timur)
531601,5316,Aesesa
531607,5316,Aesesa Selatan
122409,1224,Afulu
940507,9405,Agandugume
930401,9304,Agats
940402,9404,Agimuga
940705,9407,Agisiga
320322,3203,Agrabinta
921001,9210,Aifat
921004,9210,Aifat Selatan
921003,9210,Aifat Timur
921013,9210,Aifat Timur Jauh
921014,9210,Aifat Timur Selatan
921012,9210,Aifat Timur Tengah
921002,9210,Aifat Utara
520309,5203,Aikmel
910619,9106,Aimando Padaido
920107,9201,Aimas
530901,5309,Aimere
120913,1209,Air Batu
610805,6108,Air Besar
170315,1703,Air Besi
810402,8104,Air Buaya (Airbuaya)
170614,1706,Air Dikit
150105,1501,Air Hangat
150121,1501,Air Hangat Barat
150111,1501,Air Hangat Timur
150307,1503,Air Hitam
180419,1804,Air Hitam
120909,1209,Air Joman
160719,1607,Air Kumbang
170613,1706,Air Majunto
180626,1806,Air Naningan
170316,1703,Air Napal
170108,1701,Air Nipis
170320,1703,Air Padang
170506,1705,Air Periukan
121903,1219,Air Putih
170607,1706,Air Rami
160714,1607,Air Salek
160214,1602,Air Sugihan
610421,6104,Air Upas
950428,9504,Airgaram
190303,1903,Airgegas (Air Gegas)
710603,7106,Airmadidi
130113,1301,Airpura
910316,9103,Airu
921006,9210,Aitinyo
921005,9210,Aitinyo Barat
921023,9210,Aitinyo Raya
921022,9210,Aitinyo Tengah
921007,9210,Aitinyo Utara
730818,7308,Ajangale
330214,3302,Ajibarang
121208,1212,Ajibata
350917,3509,Ajung
130713,1307,Akabiluru
930404,9304,Akat
110908,1109,Alafan (Alapan)
537101,5371,Alak
630405,6304,Alalak
157109,1571,Alam Barajo
950815,9508,Alama
940418,9404,Alama
167115,1671,Alang Alang Lebar
520405,5204,Alas
520417,5204,Alas Barat
122407,1224,Alasa
122406,1224,Alasa Talumuzoi
950211,9502,Alemsom
330511,3305,Alian (Aliyan)
731605,7316,Alla
760415,7604,Allu (Alu)
530705,5307,Alok
530714,5307,Alok Barat
530715,5307,Alok Timur
530503,5305,Alor Barat Daya
530502,5305,Alor Barat Laut
530504,5305,Alor Selatan
530507,5305,Alor Tengah Utara
530505,5305,Alor Timur
530508,5305,Alor Timur Laut
630301,6303,Aluh Aluh
530125,5301,Amabi Oefeto
530120,5301,Amabi Oefeto Timur
810101,8101,Amahai
810605,8106,Amalatu
730824,7308,Amali
530208,5302,Amanatun Selatan
530209,5302,Amanatun Utara
121407,1214,Amandraya
530207,5302,Amanuban Barat
530206,5302,Amanuban Selatan
530205,5302,Amanuban Tengah
530204,5302,Amanuban Timur
940417,9404,Amar
530109,5301,Amarasi
530117,5301,Amarasi Barat
530118,5301,Amarasi Selatan
530119,5301,Amarasi Timur
330507,3305,Ambal
610515,6105,Ambalau
810903,8109,Ambalau
520610,5206,Ambalawi
181003,1810,Ambarawa
332210,3322,Ambarawa
930211,9302,Ambatkwi (Ambatkui)
920910,9209,Amberbaken
920927,9209,Amberbaken Barat
350912,3509,Ambulu
352912,3529,Ambunten
170710,1707,Amen
530121,5301,Amfoang Barat Daya
530122,5301,Amfoang Barat Laut
530112,5301,Amfoang Selatan
530130,5301,Amfoang Tengah
530126,5301,Amfoang Timur
530113,5301,Amfoang Utara
740228,7402,Amonggedo
720905,7209,Ampana Kota
720904,7209,Ampana Tete
130607,1306,Ampek Angkek (IV Angkat Candung)
130613,1306,Ampek Nagari (IV Nagari )
330902,3309,Ampel
332711,3327,Ampelgading
350706,3507,Ampelgading
527101,5271,Ampenan
720802,7208,Ampibabo
950311,9503,Amuma
940523,9405,Amungkalpia
630804,6308,Amuntai Selatan
630805,6308,Amuntai Tengah
630806,6308,Amuntai Utara
710510,7105,Amurang
710517,7105,Amurang Barat
710518,7105,Amurang Timur
180227,1802,Anak Ratu Aji
180221,1802,Anak Tuha
950436,9504,Anawi
120112,1201,Andam Dewi
910614,9106,Andey
327305,3273,Andir
330916,3309,Andong
740503,7405,Andoolo
740525,7405,Andoolo Barat
740909,7409,Andowia
740502,7405,Angata
740224,7402,Anggaberi
740240,7402,Anggalomoare
640204,6402,Anggana
731604,7316,Anggeraja
921201,9212,Anggi
921202,9212,Anggi Gida
750503,7505,Anggrek
950302,9503,Anggruk
910504,9105,Angkaisera
630604,6306,Angkinang
120301,1203,Angkola Barat
120332,1203,Angkola Muara Tais
120331,1203,Angkola Sangkunur
120306,1203,Angkola Selatan
120303,1203,Angkola Timur
732405,7324,Angkona
631009,6310,Angsana
